mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,name
19.0,6,250.0,100.0,3282,15.0,71,usa,pontiac firebird
18.0,6,250.0,88.0,3139,14.5,71,usa,ford mustang
23.0,4,122.0,86.0,2220,14.0,71,usa,mercury capri 2000
28.0,4,116.0,90.0,2123,14.0,71,europe,opel 1900
30.0,4,79.0,70.0,2074,19.5,71,europe,peugeot 304
30.0,4,88.0,76.0,2065,14.5,71,europe,fiat 124b
31.0,4,71.0,65.0,1773,19.0,71,japan,toyota corolla 1200
35.0,4,72.0,69.0,1613,18.0,71,japan,datsun 1200
27.0,4,97.0,60.0,1834,19.0,71,europe,volkswagen model 111
26.0,4,91.0,70.0,1955,20.5,71,usa,plymouth cricket
24.0,4,113.0,95.0,2278,15.5,72,japan,toyota corona hardtop
25.0,4,97.5,80.0,2126,17.0,72,usa,dodge colt hardtop
23.0,4,97.0,54.0,2254,23.5,72,europe,volkswagen type 3
20.0,4,140.0,90.0,2408,19.5,72,usa,chevrolet vega
21.0,4,122.0,86.0,2226,16.5,72,usa,ford pinto runabout
13.0,8,350.0,165.0,4274,12.0,72,usa,chevrolet impala
14.0,8,400.0,175.0,4385,12.0,72,usa,pontiac catalina
15.0,8,318.0,150.0,4135,13.5,72,usa,plymouth fury iii
14.0,8,351.0,153.0,4129,13.0,72,usa,ford galaxie 500
17.0,8,304.0,150.0,3672,11.5,72,usa,amc ambassador sst
11.0,8,429.0,208.0,4633,11.0,72,usa,mercury marquis
13.0,8,350.0,155.0,4502,13.5,72,usa,buick lesabre custom
12.0,8,350.0,160.0,4456,13.5,72,usa,oldsmobile delta 88
13.0,8,400.0,190.0,4422,12.5,72,usa,chrysler newport royal
19.0,3,70.0,97.0,2330,13.5,72,japan,mazda rx2 coupe
15.0,8,304.0,150.0,3892,12.5,72,usa,amc matador
13.0,8,307.0,130.0,4098,14.0,72,usa,chevrolet chevelle concours
13.0,8,302.0,140.0,4294,16.0,72,usa,ford gran torino
14.0,8,318.0,150.0,4077,14.0,72,usa,plymouth satellite custom
18.0,4,121.0,112.0,2933,14.5,72,europe,volvo 145e
22.0,4,121.0,76.0,2511,18.0,72,europe,volkswagen 411
21.0,4,120.0,87.0,2979,19.5,72,europe,peugeot 504
26.0,4,96.0,69.0,2189,18.0,72,europe,renault 12
22.0,4,122.0,86.0,2395,16.0,72,usa,ford pinto
28.0,4,97.0,92.0,2288,17.0,72,japan,datsun 510
23.0,4,120.0,97.0,2506,14.5,72,japan,toyota corona mark ii
28.0,4,98.0,80.0,2164,15.0,72,usa,dodge colt
27.0,4,97.0,88.0,2100,16.5,72,japan,toyota corolla 1600
13.0,8,350.0,175.0,4100,13.0,73,usa,buick century 350
14.0,8,304.0,150.0,3672,11.5,73,usa,amc matador
13.0,8,350.0,145.0,3988,13.0,73,usa,chevrolet malibu
14.0,8,302.0,137.0,4042,14.5,73,usa,ford gran torino
15.0,8,318.0,150.0,3777,12.5,73,usa,dodge coronet custom
12.0,8,429.0,198.0,4952,11.5,73,usa,mercury marquis brougham
13.0,8,400.0,150.0,4464,12.0,73,usa,chevrolet caprice classic
13.0,8,351.0,158.0,4363,13.0,73,usa,ford ltd
14.0,8,318.0,150.0,4237,14.5,73,usa,plymouth fury gran sedan
13.0,8,440.0,215.0,4735,11.0,73,usa,chrysler new yorker
12.0,8,455.0,225.0,4951,11.0,73,usa,buick electra 225 custom
13.0,8,360.0,175.0,3821,11.0,73,usa,amc ambassador brougham
18.0,6,225.0,105.0,3121,16.5,73,usa,plymouth valiant
16.0,6,250.0,100.0,3278,18.0,73,usa,chevrolet nova custom
18.0,6,232.0,100.0,2945,16.0,73,usa,amc hornet
18.0,6,250.0,88.0,3021,16.5,73,usa,ford maverick
23.0,6,198.0,95.0,2904,16.0,73,usa,plymouth duster
26.0,4,97.0,46.0,1950,21.0,73,europe,volkswagen super beetle
