carat,cut,color,clarity,depth,table,price
0.35,Ideal,F,VS2,62.4,57.0,906
0.74,Good,F,SI2,59.3,61.0,2190
0.3,Very Good,G,VVS2,61.3,58.0,684
0.64,Very Good,E,VS2,63.4,54.0,2114
0.85,Good,G,SI1,64.9,56.0,2945
0.3,Premium,E,IF,60.1,60.0,1097
0.29,Very Good,H,VVS1,62.0,55.0,478
0.41,Ideal,E,VS1,61.7,57.0,1079
1.51,Fair,H,SI2,64.5,59.0,6291
0.6,Ideal,G,SI2,59.1,56.0,1250
0.3,Ideal,F,VS2,61.9,55.0,605
1.09,Ideal,E,VVS2,61.6,56.0,10314
2.01,Premium,I,SI1,60.1,59.0,14752
1.26,Premium,H,SI1,62.2,58.0,6664
0.41,Good,E,SI1,63.9,58.0,755
0.9,Very Good,E,SI1,61.4,56.0,5387
1.0,Premium,F,VVS2,60.6,54.0,8924
1.0,Very Good,E,SI1,62.1,57.0,4864
0.4,Ideal,D,SI1,62.1,56.0,772
1.14,Very Good,H,VS2,59.9,57.0,5053
0.38,Very Good,F,VVS1,63.8,58.0,1030
0.7,Very Good,H,VS2,63.0,55.4,2513
0.36,Premium,G,VS1,61.2,60.0,932
0.8,Premium,E,SI1,62.9,60.0,3091
0.55,Premium,E,VS2,60.5,58.0,1786
0.92,Premium,E,SI2,61.8,59.0,3679
0.4,Good,E,SI1,63.3,56.0,687
1.04,Premium,G,SI1,60.3,58.0,3780
0.35,Ideal,E,VS2,62.2,56.0,984
2.11,Very Good,I,VS2,60.3,60.5,16363
1.5,Very Good,H,VS2,60.7,61.0,11025
0.9,Very Good,E,SI2,62.2,54.0,3715
0.41,Ideal,E,VVS2,61.5,55.0,1187
0.5,Premium,E,SI1,62.2,58.0,1073
0.57,Very Good,G,VS2,62.6,55.0,1608
1.0,Premium,H,SI1,62.1,56.0,4788
2.75,Ideal,D,I1,60.9,57.0,13156
0.58,Ideal,H,VS1,61.2,55.0,1671
1.0,Very Good,E,SI1,59.6,60.0,5257
0.31,Very Good,H,SI1,63.1,57.0,573
0.3,Premium,G,VVS2,61.3,57.0,878
0.3,Very Good,E,VS2,61.9,61.0,658
0.51,Ideal,H,SI1,62.1,54.0,1161
1.02,Ideal,H,SI1,60.8,58.0,5251
0.26,Very Good,E,VVS2,61.7,60.0,599
0.7,Ideal,E,SI1,60.1,57.0,2929
0.96,Ideal,G,SI1,62.6,57.0,4355
0.33,Ideal,G,VS1,61.4,54.0,666
0.9,Good,G,SI1,64.2,58.0,3250
0.3,Ideal,G,SI1,62.1,53.0,422
1.04,Very Good,G,SI2,62.6,58.0,4375
0.7,Premium,F,SI2,60.3,58.0,1806
0.33,Very Good,E,VVS1,61.8,54.0,945
1.03,Premium,D,SI2,61.3,61.0,4764
0.72,Very Good,F,VS1,63.4,57.0,3264
1.23,Ideal,F,VS1,61.3,57.0,8679
1.21,Premium,J,VVS1,61.3,59.0,5893
1.52,Fair,G,VS2,55.2,66.0,10623
0.32,Ideal,G,IF,61.8,55.0,918
1.54,Premium,H,IF,62.5,58.0,12196
0.41,Ideal,F,VS2,62.7,56.0,1107
1.74,Premium,J,SI2,59.7,57.0,8690
0.34,Premium,E,VS2,58.8,59.0,956
0.92,Fair,F,SI2,65.3,58.0,3282
0.52,Ideal,F,SI2,62.1,55.0,1191
0.98,Very Good,G,SI2,62.2,57.0,4542
1.22,Ideal,I,SI1,60.2,57.0,5807
2.0,Very Good,J,SI2,59.8,60.0,11792
0.38,Ideal,E,VVS2,62.4,56.0,1097
0.55,Premium,G,VS1,59.4,62.0,1792
2.01,Premium,H,SI1,61.4,56.0,18295
0.7,Premium,G,I1,61.6,56.0,1138
2.01,Very Good,H,SI1,60.0,58.0,17095
0.74,Very Good,H,SI2,62.1,58.0,2222
0.79,Premium,E,VVS1,62.8,60.0,4490
1.7,Ideal,I,SI2,60.7,59.0,8743
2.11,Very Good,G,I1,63.2,57.0,7834
1.72,Premium,G,VS2,61.1,58.0,15801
0.4,Good,E,SI1,63.6,57.0,882
0.42,Good,E,SI1,63.6,61.0,945
0.7,Fair,G,VS2,57.3,63.0,2273
1.0,Very Good,F,SI2,61.7,58.0,3789
1.25,Premium,J,SI2,62.3,59.0,4410
0.41,Ideal,I,VS2,61.2,56.0,1056
0.39,Ideal,F,VS2,59.2,58.0,862
1.51,Premium,H,SI1,62.0,58.0,9511
1.02,Very Good,G,VVS2,61.3,59.0,7292
2.0,Premium,H,SI2,59.7,61.0,15451
0.41,Premium,D,SI2,62.4,60.0,683
1.23,Good,H,SI1,63.9,56.0,5889
0.7,Very Good,H,VS2,60.0,57.0,2335
1.19,Premium,J,SI2,58.4,60.0,4198
1.1,Ideal,E,SI2,59.4,54.0,4071
0.72,Ideal,H,SI1,60.3,59.0,2197
0.71,Ideal,I,VVS2,62.0,54.0,2387
0.3,Ideal,H,VVS1,61.3,57.0,665
0.77,Good,H,VVS2,64.3,57.9,2734
0.38,Good,I,SI1,63.7,57.0,659
0.7,Ideal,F,VVS2,62.0,55.0,3191
1.0,Premium,H,VS1,61.5,57.0,5387
1.52,Ideal,E,SI1,62.1,56.0,13280
0.41,Ideal,D,SI1,61.7,54.0,791
0.29,Ideal,E,VS2,60.1,56.0,619
0.3,Premium,G,VVS1,62.1,56.0,1013
0.3,Fair,G,VVS1,58.6,66.0,790
0.5,Very Good,F,VVS2,61.9,59.0,2041
1.52,Ideal,H,SI1,61.5,58.0,10589
1.02,Premium,E,VVS1,61.5,59.0,11163
0.33,Ideal,G,VS1,62.3,57.0,854
0.36,Ideal,D,VS2,61.1,57.0,852
1.5,Premium,G,SI1,62.3,60.0,7535
0.73,Very Good,F,SI1,61.3,56.0,3023
1.08,Ideal,G,SI2,61.9,58.0,4675
1.13,Premium,G,SI2,60.0,61.0,4518
0.36,Premium,I,VS2,62.7,59.0,648
0.72,Good,E,SI2,57.9,56.0,2308
0.24,Good,F,VVS1,64.8,57.0,492
0.8,Ideal,F,VS1,61.2,56.0,3860
1.09,Very Good,D,SI2,59.2,63.0,4322
0.4,Very Good,D,VS2,59.3,58.0,850
1.07,Ideal,F,SI2,62.0,56.0,5077
0.42,Ideal,G,VS1,62.7,54.0,984
0.41,Ideal,E,VS2,62.3,54.0,875
0.26,Premium,E,VS2,62.1,56.0,580
0.3,Ideal,I,SI1,61.9,57.0,422
1.5,Premium,F,VS2,61.5,58.0,14071
0.71,Premium,H,VS2,62.8,56.0,2531
1.0,Very Good,D,SI2,63.2,57.0,4628
0.9,Premium,G,SI1,62.7,58.0,3774
0.85,Very Good,E,SI2,63.1,58.0,2966
1.52,Premium,J,VS2,62.0,59.0,7758
1.21,Ideal,H,SI2,62.6,56.0,5624
0.26,Ideal,D,VVS2,61.4,56.0,769
1.54,Ideal,F,VS1,60.5,56.0,17949
0.35,Ideal,E,IF,62.2,56.0,1254
0.31,Premium,E,SI1,62.7,58.0,471
0.42,Ideal,F,SI2,61.7,54.0,626
0.41,Ideal,G,VVS1,62.1,55.0,1230
0.31,Ideal,G,SI1,62.2,55.0,593
0.52,Very Good,E,VS2,62.5,58.0,1653
1.01,Premium,F,SI2,62.6,60.0,4497
0.3,Very Good,D,VS1,62.2,58.0,742
0.34,Premium,E,SI2,62.4,59.0,477
0.71,Ideal,F,SI1,61.5,56.0,2610
0.5,Premium,E,VS2,62.0,58.0,1559
0.3,Premium,E,VS2,60.7,59.0,658
1.12,Ideal,G,VS2,62.2,54.0,6774
1.51,Ideal,J,VS2,61.5,56.0,8203
0.71,Ideal,E,VS1,60.4,56.0,3238
0.75,Ideal,J,VS1,62.9,57.0,2300
1.11,Ideal,H,SI2,62.6,56.0,4719
1.71,Premium,G,VS1,62.3,58.0,17041
1.0,Premium,E,SI2,60.6,61.0,4390
1.21,Ideal,F,SI2,61.8,57.0,6105
1.71,Very Good,F,SI1,63.3,53.0,13152
0.71,Very Good,G,VVS2,62.8,58.0,3281
0.76,Ideal,E,VS2,61.3,56.0,3079
0.71,Very Good,I,VS2,61.4,56.0,2219
2.19,Very Good,I,SI1,62.6,58.0,14819
1.5,Ideal,I,VS2,60.0,61.0,9827
1.0,Good,D,SI1,64.8,58.0,5013
1.2,Very Good,J,SI2,61.8,56.0,4102
0.35,Ideal,F,VS1,62.4,55.0,665
0.4,Fair,D,SI1,65.1,55.0,644
0.4,Ideal,G,VVS1,62.1,53.0,1043
1.64,Premium,F,SI1,62.8,59.0,12670
0.54,Ideal,H,VVS1,61.7,57.0,1944
0.74,Premium,E,VS2,62.7,58.0,3228
1.24,Ideal,J,SI2,60.1,57.0,4783
0.32,Ideal,F,VS1,61.9,55.0,876
0.71,Very Good,E,SI1,63.1,59.0,2441
2.0,Very Good,G,SI1,63.0,55.0,17724
0.32,Ideal,G,VVS1,61.7,56.0,814
0.4,Ideal,I,SI1,61.6,56.0,765
0.91,Premium,H,VS2,61.8,60.0,4238
1.5,Good,E,SI1,63.9,54.0,11948
0.31,Ideal,D,VVS1,62.3,54.0,949
0.7,Very Good,D,VVS2,62.3,56.0,3622
1.02,Premium,F,VS1,62.7,55.0,7677
0.54,Ideal,E,VS2,62.4,56.0,1765
0.3,Ideal,G,VVS2,61.5,56.0,878
1.0,Premium,F,VS2,59.9,60.0,5606
1.01,Premium,G,VS2,61.8,59.0,5946
1.01,Premium,F,VS1,62.4,61.0,7127
1.01,Premium,G,VS2,62.1,59.0,5864
1.13,Ideal,I,VS2,62.2,55.0,5165
0.32,Ideal,D,SI1,60.9,55.0,715
0.7,Ideal,D,VS2,61.4,55.0,3360
1.52,Ideal,E,VS2,62.2,57.0,15239
1.2,Premium,H,SI2,62.4,61.0,5040
1.72,Very Good,F,I1,60.5,59.0,6962
0.41,Premium,D,SI1,61.4,58.0,791
0.72,Ideal,G,VVS2,62.0,55.0,3352
0.3,Premium,E,VS2,60.4,58.0,844
0.32,Very Good,H,VS1,58.9,63.0,624
0.35,Premium,I,SI1,62.5,58.0,472
0.31,Premium,H,VS2,61.9,58.0,628
1.31,Ideal,G,VVS2,61.3,58.0,11975
0.7,Very Good,I,SI1,61.4,57.0,2028
1.52,Ideal,G,VS2,61.4,56.0,14692
0.74,Premium,G,SI2,62.8,57.0,2109
1.01,Premium,F,SI2,60.9,60.0,3297
1.02,Ideal,E,SI1,61.9,55.0,5806
0.77,Good,D,SI2,63.8,58.0,2642
1.2,Premium,E,VS1,60.7,57.0,10053
1.2,Premium,H,SI1,61.8,58.0,5669
1.2,Very Good,G,SI2,62.5,57.0,5250
0.31,Very Good,E,SI1,58.3,60.0,544
0.73,Ideal,E,SI1,60.1,56.0,2661
0.51,Good,D,SI1,63.3,57.0,1423
1.01,Premium,G,IF,63.0,60.0,8120
1.17,Ideal,G,VS2,62.0,57.0,7423
0.44,Premium,G,VVS2,60.9,57.0,1155
0.91,Very Good,F,VS2,62.1,58.0,4917
1.22,Good,J,VS1,58.5,61.0,5356
0.3,Very Good,D,SI1,63.1,56.0,662
1.51,Premium,G,VS1,62.4,60.0,12948
1.01,Premium,G,SI2,63.0,59.0,3923
0.55,Very Good,E,VVS2,60.8,55.0,2238
0.24,Very Good,H,VVS2,61.9,57.0,449
1.16,Ideal,G,VS2,62.3,57.0,7074
2.2,Ideal,H,SI2,60.0,58.0,16530
0.78,Very Good,D,VS2,58.5,56.0,3298
0.37,Very Good,E,VS1,60.2,56.0,925
0.7,Premium,F,SI1,62.6,55.0,2184
0.57,Ideal,E,SI1,62.1,56.0,1728
2.02,Very Good,F,SI1,62.8,59.0,15987
1.51,Premium,F,VS2,62.0,60.0,14294
0.41,Very Good,D,VS2,62.8,55.0,1007
0.4,Very Good,E,VVS2,62.8,58.0,1066
1.2,Very Good,G,SI1,63.2,59.0,5665
1.1,Premium,H,SI1,60.7,59.0,5476
1.0,Premium,G,VS2,60.8,60.0,5322
0.72,Very Good,F,VS2,61.6,58.0,3238
1.5,Very Good,I,SI1,63.1,59.0,8291
0.37,Ideal,F,VS2,60.6,56.0,746
1.2,Very Good,I,VS1,62.4,56.0,6167
0.34,Premium,H,SI1,62.1,59.0,612
1.13,Very Good,H,SI2,62.0,58.0,5179
0.4,Very Good,G,VS1,63.4,56.0,1005
1.2,Very Good,I,SI1,62.6,57.0,5476
0.81,Very Good,F,SI2,63.2,58.0,2843
0.76,Ideal,D,SI2,62.2,57.0,2706
0.41,Ideal,F,VVS1,62.3,53.0,1356
2.0,Very Good,H,SI1,62.8,57.0,18803
0.75,Premium,F,SI1,61.5,58.0,2683
0.97,Premium,F,SI2,61.9,58.0,3993
0.34,Ideal,E,VS1,60.8,57.0,805
1.23,Premium,I,VS1,61.6,58.0,5632
1.01,Very Good,E,VS2,63.1,56.0,6480
0.31,Very Good,H,VS1,63.1,57.0,698
0.54,Premium,H,SI1,61.0,58.0,1154
1.11,Ideal,H,SI1,60.2,54.0,5315
0.36,Ideal,E,VS2,61.2,56.0,1013
0.33,Premium,G,VS1,61.3,58.0,666
0.79,Good,D,SI2,63.9,56.0,2539
1.0,Very Good,E,VS1,61.2,57.0,7002
0.9,Very Good,F,VS2,62.6,58.0,4681
0.42,Ideal,F,VVS2,61.6,56.0,1221
2.15,Ideal,I,SI2,61.7,55.0,14519
0.31,Premium,F,VS2,61.8,59.0,625
0.74,Premium,F,SI1,62.3,61.0,2723
0.77,Very Good,D,VS2,63.0,58.0,3351
0.32,Ideal,F,VS2,61.1,57.0,828
1.21,Premium,F,VS1,62.6,59.0,10018
0.8,Ideal,E,SI1,61.0,57.0,3890
1.0,Fair,E,SI1,66.5,55.0,3696
0.35,Good,F,SI1,63.6,54.0,583
1.01,Premium,G,VS1,62.3,59.0,6499
2.19,Premium,I,SI2,60.8,60.0,15032
0.43,Ideal,G,SI2,62.3,53.0,696
0.58,Ideal,J,VS2,62.8,57.0,1196
0.38,Premium,D,SI1,58.9,61.0,941
0.66,Very Good,E,VVS1,61.8,55.0,3309
1.82,Very Good,G,SI2,61.3,58.0,11971
0.72,Ideal,H,SI2,61.3,55.0,2410
0.36,Ideal,G,SI1,62.7,55.0,537
1.11,Ideal,H,SI2,62.7,57.0,4662
0.31,Premium,D,VS2,60.7,59.0,734
0.48,Ideal,F,SI2,61.0,57.0,918
1.01,Very Good,E,VS2,63.1,60.0,6335
1.55,Ideal,J,SI2,62.0,56.0,6805
1.51,Ideal,G,VS2,62.1,54.0,12551
0.3,Ideal,F,VVS1,61.9,54.0,814
0.36,Ideal,F,IF,60.3,57.0,1063
0.5,Good,D,SI2,58.5,64.0,958
0.59,Very Good,H,IF,61.7,56.0,2317
0.36,Ideal,E,VVS2,62.1,56.0,873
0.32,Ideal,F,VVS1,61.7,55.0,867
1.02,Ideal,F,VVS2,61.1,56.3,9521
2.01,Ideal,G,SI2,62.8,56.0,15841
0.73,Premium,I,VVS2,60.6,58.0,2496
1.01,Ideal,F,VS2,61.0,56.0,5662
0.7,Premium,E,VS1,62.7,60.0,2695
0.36,Very Good,F,VS1,61.3,54.0,781
0.41,Premium,E,VVS1,60.7,58.0,1431
0.7,Good,H,VVS2,58.9,61.5,2699
0.71,Premium,E,SI1,60.3,60.0,2674
0.71,Very Good,F,SI2,59.2,60.0,2134
0.3,Ideal,H,VVS2,61.5,56.0,776
0.78,Ideal,H,VVS2,62.1,56.0,3581
0.5,Ideal,F,VS1,62.5,57.0,1710
0.37,Ideal,F,SI1,61.6,56.0,746
0.51,Ideal,D,SI1,60.4,55.0,1687
0.9,Very Good,D,SI1,62.4,61.0,4693
0.33,Ideal,I,IF,61.7,55.0,675
0.71,Ideal,F,VS2,62.1,54.0,2780
0.9,Ideal,J,VS1,62.4,56.0,3498
0.26,Very Good,E,VVS1,63.4,59.0,554
1.0,Good,G,SI1,59.9,58.0,6437
0.51,Ideal,D,VS2,61.4,57.0,1716
2.0,Good,D,SI2,63.8,57.0,10528
0.92,Premium,D,SI2,62.5,59.0,3550
0.71,Very Good,H,SI2,62.2,55.1,2339
1.57,Ideal,I,SI1,62.2,56.0,10633
1.0,Ideal,I,SI1,62.7,56.0,4174
0.31,Ideal,F,IF,62.2,56.0,874
1.2,Premium,I,VS1,62.8,56.0,6021
